site_code,project_code,project_title,site_type,subtype,stage,target_group_name,commodity_group_name,development_region,lga_name,longitude,latitude,active_flag
S0019502,J02617,Victory Bore,Deposit,Unspecified,Undeveloped,VANADIUM - TITANIUM,Steel alloy metal,"MID-WEST, Development Region","SANDSTONE, SHIRE OF",118.989044,-28.2619,Y
S0020742,J02815,Karara - Blue Hills / Gindalbie,Mine,Openpit,Operating,IRON ORE,Iron,"MID-WEST, Development Region","PERENJORI, SHIRE OF",116.774437,-29.187531,Y
S0022045,J00596,Mt Gibson Iron,Mine,Openpit,Operating,IRON ORE,Iron,"MID-WEST, Development Region","YALGOO, SHIRE OF",117.166209,-29.588477,Y
S0022686,J03041,Wiluna West Iron,Mine,Openpit,Operating,IRON ORE,Iron,"MID-WEST, Development Region","WILUNA, SHIRE OF",119.937312,-26.680347,Y
S0022914,J03340,Lake Giles Magnetite and Ularring Hematite,Mine,Openpit,Proposed,IRON ORE,Iron,"GOLDFIELDS-ESPERANCE, Development Region","MENZIES, SHIRE OF",119.921925,-29.811568,Y
S0023105,J05539,Iron Ridge,Mine,Openpit,Operating,IRON ORE,Iron,"MID-WEST, Development Region","CUE, SHIRE OF",117.684512,-26.943926,Y
S0023170,J04475,Shine,Mine,Openpit,Operating,IRON ORE,Iron,"MID-WEST, Development Region","YALGOO, SHIRE OF",116.936541,-28.85152,Y
S0023347,J02673,Koolanooka & Blue Hills - Mungada / Sinosteel,Mine,Openpit,Operating,IRON ORE,Iron,"MID-WEST, Development Region","PERENJORI, SHIRE OF",116.888661,-29.140211,Y
S0237036,J00156,Mt Magnet,Mine,Openpit,Operating,GOLD,Precious metal,"MID-WEST, Development Region","MOUNT MAGNET, SHIRE OF",117.781685,-28.074872,Y
S0023569,J03500,Parker Range - Mt Caudan Iron,Mine,Openpit,Operating,IRON ORE,Iron,"WHEATBELT, Development Region","YILGARN, SHIRE OF",119.555631,-31.614555,Y
S0238461,J05539,Iron Ridge,Infrastructure,Power Plant,Operating,IRON ORE,Iron,"MID-WEST, Development Region","CUE, SHIRE OF",117.679335,-26.954592,Y
S0238929,J00347,Murchison / Westgold,Infrastructure,Power Plant,Operating,GOLD,Precious metal,"MID-WEST, Development Region","CUE, SHIRE OF",118.146625,-27.455809,Y
S0234095,J04872,Mt Holland Lithium / Wesfarmers & SQM,Mine,Openpit,Operating,TIN - TANTALUM - LITHIUM,Speciality metal,"WHEATBELT, Development Region","YILGARN, SHIRE OF",119.747965,-32.092628,Y
S0237465,J05525,Penny Gold,Mine,Decline,Operating,GOLD,Precious metal,"MID-WEST, Development Region","SANDSTONE, SHIRE OF",118.810258,-28.853313,Y
S0224710,J00559,Koolyanobbing Iron,Mine,Openpit,Operating,IRON ORE,Iron,"GOLDFIELDS-ESPERANCE, Development Region","MENZIES, SHIRE OF",119.280926,-29.850385,Y
S0240820,J00017,Cue Gold - Central Murchison,Infrastructure,Power Plant,Operating,OTHER,Energy,"MID-WEST, Development Region","MEEKATHARRA, SHIRE OF",118.433116,-26.710332,Y
S0241343,J00226,Marvel Loch - Southern Cross,Mine,Openpit,Operating,GOLD,Precious metal,"WHEATBELT, Development Region","YILGARN, SHIRE OF",119.541813,-31.501183,Y
S0241815,J04723,Sandy Ridge Kaolin / Tellus,Infrastructure,Power Plant,Under Development,CLAYS,Industrial mineral,"GOLDFIELDS-ESPERANCE, Development Region","COOLGARDIE, SHIRE OF",120.097709,-30.366087,Y
S0243541,J00156,Mt Magnet,Infrastructure,Power Plant,Operating,OTHER,Energy,"MID-WEST, Development Region","MOUNT MAGNET, SHIRE OF",117.833866,-28.034318,Y
S0243542,J00156,Mt Magnet,Infrastructure,Power Plant,Operating,OTHER,Energy,"MID-WEST, Development Region","MOUNT MAGNET, SHIRE OF",117.8187,-28.029764,Y
S0023098,J00755,Weld Range Iron Ore,Mine,Openpit,Operating,IRON ORE,Iron,"MID-WEST, Development Region","CUE, SHIRE OF",117.837012,-26.873566,Y
S0236372,J01772,Garden Gully / New Murchison,Mine,Openpit,Operating,GOLD,Precious metal,"MID-WEST, Development Region","MEEKATHARRA, SHIRE OF",118.464348,-26.448724,Y
S0229694,J04276,Rebecca,Deposit,Unspecified,Undeveloped,GOLD,Precious metal,"GOLDFIELDS-ESPERANCE, Development Region","KALGOORLIE-BOULDER, CITY OF",122.863141,-30.358612,Y
