site_code,project_code,project_title,title,short_title,site_type,subtype,stage,target_group_name,commodity_group_name,development_region,lga_name,longitude,latitude,active_flag
S0230520,J03193,Yarraloola / CZR,Robe Mesa,Robe Mesa,Mine,Openpit,Proposed,Iron Ore,Iron,Pilbara,Shire Of Ashburton,116.011578,-21.761843,Y
S0230566,J00725,Woodie Woodie (Mining Corridor) / ConsMin,Topvar,Topvar,Mine,Openpit,Operating,Manganese Ore,Steel Alloy Metal,Pilbara,Shire Of East Pilbara,121.232375,-21.601475,Y
S0230607,J00178,Kambalda - St Ives,Neptune / St Ives,Neptune,Mine,Openpit,Operating,Gold,Precious Metal,Goldfields-Esperance,Shire Of Coolgardie,121.745530,-31.300004,Y
S0230634,J04422,Flat Rocks Wind Farm,Flat Rock Wind Farm,Flat Rock Wind Farm,Infrastructure,Power Plant,Operating,Other,Energy,Great Southern,Shire Of Broomehill-Tambellup,117.344149,-33.963794,Y
S0230742,J04275,McIntosh Graphite,Emperor - McIntosh,Emperor,Deposit,Unspecified,Undeveloped,Graphite,Industrial Mineral,Kimberley,Shire Of Halls Creek,127.962612,-17.611129,Y
S0230898,J04673,Yamarna - Gruyere JV,Gruyere,Gruyere,Mine,Openpit,Operating,Gold,Precious Metal,Goldfields-Esperance,Shire Of Laverton,123.845224,-27.984416,Y
S0230961,J00788,Port Gregory Garnet/GMA,Lynton North - Port Gregory/GMA,Lynton North/GMA,Mine,Openpit,Operating,Heavy Mineral Sands,Industrial Mineral,Mid-West,Shire Of Northampton,114.256260,-28.146616,Y
S0231045,J02854,Marda / Southern Cross,Die Hardy North,Die Hardy North,Mine,Openpit,Operating,Gold,Precious Metal,Wheatbelt,Shire Of Yilgarn,119.409971,-29.953252,Y
S0231406,J00251,Randalls - Mt Monger,Daisy Milano Power Plant,Power Plant,Infrastructure,Power Plant,Operating,Other,Energy,Goldfields-Esperance,City Of Kalgoorlie-Boulder,121.927461,-31.013166,Y
S0231766,J02241,Carosue Dam - Khartoum,Karari Underground Main and Exploration Declines,Karari UG,Mine,Decline,Operating,Gold,Precious Metal,Goldfields-Esperance,City Of Kalgoorlie-Boulder,122.359244,-30.159159,Y
