site_code,project_code,project_title,title,short_title,site_type,subtype,stage,target_group_name,commodity_group_name,development_region,lga_name,longitude,latitude,active_flag
S0241872,J06169,Lake Hope / Impact Minerals,West Lake Hope / Playa One,West Lake Hope / Playa One,Deposit,Unspecified,Undeveloped,Clays,Industrial Mineral,Goldfields-Esperance,Shire Of Dundas,120.269041,-32.424730,Y
S0241912,J05074,Bundarra / Bligh,Wonder Underground,Wonder Underground,Mine,Decline,Operating,Gold,Precious Metal,Goldfields-Esperance,Shire Of Leonora,121.181529,-28.340669,Y
S0241967,J03454,Mt Gould Iron,Mt Gould Scree 1,Mt Gould Scree 1,Mine,Openpit,Operating,Iron Ore,Iron,Mid-West,Shire Of Meekatharra,117.333837,-25.798610,Y
S0242252,J04902,Kathleen Valley Lithium,Kathleen Valley Wind Farm,Wind Farm,Infrastructure,Power Plant,Operating,Other,Energy,Goldfields-Esperance,Shire Of Leonora,120.521817,-27.474931,Y
S0242263,J00094,Porphyry - Northern Operations,Porphyry Solar Farm,Solar Farm,Infrastructure,Power Plant,Proposed,Other,Energy,Goldfields-Esperance,Shire Of Menzies,122.285334,-29.784079,Y
S0242285,J00688,Tabba Tabba - Strelley,Leia,Leia,Deposit,Unspecified,Undeveloped,Tin - Tantalum - Lithium,Speciality Metal,Pilbara,Shire Of East Pilbara,118.917412,-20.671780,Y
S0242388,J06642,HiPurA HPA,HPA Micro-Plant,HPA Micro-Plant,Infrastructure,Processing Plant,Operating,Clays,Alumina,Metro,City Of Fremantle,115.798286,-32.058622,Y
S0242504,J06284,Blue Hydrogen - West Australian Clean Hydrogen (WAH2),WAH2 Ammonia Plant,WAH2 Ammonia Plant,Infrastructure,Other,Proposed,Petroleum,Other (Minedex Non-Minerals),Pilbara,City Of Karratha,116.662169,-20.822089,Y
S0242527,J06681,Kwinana Cobalt Refinery,Kwinana Cobalt Refinery (KCR),Kwinana Cobalt Refinery,Infrastructure,Processing Plant,Proposed,Nickel,Steel Alloy Metal,Metro,City Of Rockingham,115.762795,-32.263614,Y
S0243263,J00772,Mt Weld REE / Lynas,Mt Weld REE Thermal Power Plant,Power Plant,Infrastructure,Power Plant,Operating,Rare Earths,Speciality Metal,Goldfields-Esperance,Shire Of Laverton,122.525955,-28.858262,Y
S0243410,J04770,Bellevue,Bellevue Wind Turbine,Wind Turbine,Infrastructure,Power Plant,Operating,Other,Energy,Goldfields-Esperance,Shire Of Leonora,120.552344,-27.630257,Y
S0243411,J04770,Bellevue,Bellevue Solar Farm,Solar Farm,Infrastructure,Power Plant,Operating,Other,Energy,Goldfields-Esperance,Shire Of Leonora,120.541689,-27.589270,Y
S0243493,J04280,Thunderbird - Kimberley Mineral Sands,Thunderbird Power Plant,Power Plant,Infrastructure,Power Plant,Operating,Heavy Mineral Sands,Speciality Metal,Kimberley,Shire Of Broome,122.979812,-17.434991,Y
S0243541,J00156,Mt Magnet,Mt Magnet Solar Farm,Solar Farm,Infrastructure,Power Plant,Operating,Other,Energy,Mid-West,Shire Of Mount Magnet,117.833866,-28.034318,Y
S0243542,J00156,Mt Magnet,Mt Magnet Diesal Power Plant,Diesal Power Plant,Infrastructure,Power Plant,Operating,Other,Energy,Mid-West,Shire Of Mount Magnet,117.818700,-28.029764,Y
S0243721,J01726,Jundee - Nimary,Jundee Powerhouse and BESS,Powerhouse and BESS,Infrastructure,Power Plant,Operating,Other,Energy,Mid-West,Shire Of Wiluna,120.619836,-26.360092,Y
S0245194,J00019,Binduli,Binduli North Solar Farm,Solar Farm,Infrastructure,Power Plant,Operating,Other,Energy,Goldfields-Esperance,City Of Kalgoorlie-Boulder,121.368267,-30.788132,Y
S0245265,J06953,Murchison Hydrogen Renewables,Power to X plant - Murchison Renewable Ammonia and Desalination Plant,PtX Plant,Infrastructure,Processing Plant,Proposed,Petroleum,Other (Minedex Non-Minerals),Mid-West,Shire Of Northampton,114.070523,-27.396632,Y
S0245278,J05577,Jasper Hills,Jasper Hills - Fish Underground,Fish UG,Mine,Decline,Operating,Gold,Precious Metal,Goldfields-Esperance,Shire Of Menzies,123.116749,-29.099665,Y
S0245905,J04512,Pilgangoora / Pilbara Minerals,Pilgan Power Plant,Pilgan Power Plant,Infrastructure,Power Plant,Operating,Tin - Tantalum - Lithium,Speciality Metal,Pilbara,Shire Of East Pilbara,118.894695,-21.048105,Y
S0246046,J03488,Karlawinda Gold,Karlawinda Power Plant,Power Plant,Infrastructure,Power Plant,Operating,Gold,Precious Metal,Mid-West,Shire Of Meekatharra,120.111915,-23.767332,Y
S0246239,J07035,Parkeston Power Station - Kalgoorlie,Parkeston Power Station - Kalgoorlie,Parkeston Power Station,Infrastructure,Power Plant,Operating,Other,Energy,Goldfields-Esperance,City Of Kalgoorlie-Boulder,121.506346,-30.737768,Y
S0246245,J00430,Mt Ida Gold,Mt Ida Power Station,Mt Ida Power Station,Infrastructure,Power Plant,Operating,Gold,Precious Metal,Goldfields-Esperance,Shire Of Menzies,120.462235,-29.101490,Y
S0246300,J00776,Worsley,Worsley Refinery Power Plant,Refinery Power Plant,Infrastructure,Power Plant,Operating,Other,Energy,South West,Shire Of Collie,116.068705,-33.235176,Y
S0246460,J07069,Kemerton Strategic Industrial Area,Kemerton Strategic Industrial Area,Kemerton SIA,Infrastructure,Other,Operating,Unassigned,Other (Minedex Non-Minerals),South West,Shire Of Harvey,115.749334,-33.209154,Y
S0246463,J07070,Benger Solar Farm,Benger Solar Farm,Solar Farm,Infrastructure,Power Plant,Proposed,Other,Energy,South West,Shire Of Harvey,115.789341,-33.203824,Y
S0246760,J07118,Collie Solar PV and Battery Storage System / Enpowered,Collie-Williams Rd Palmer Lot 100 BEES PV Farm / Enpowered,Collie-Williams Rd Lot 100 PV Farm / Enpowered,Infrastructure,Power Plant,Proposed,Other,Energy,South West,Shire Of Collie,116.286500,-33.295100,Y
S0246762,J07120,Collie Battery / Neoen,Collie-Williams Rd Palmer Lot 784 785 and 775 Collie Battery / Neoen,Collie-Williams Rd Lot 784 785 and 775 Battery / Neoen,Infrastructure,Power Plant,Operating,Other,Energy,South West,Shire Of Collie,116.291400,-33.311300,Y
S0246905,J07137,Anketell Strategic Industrial Area,Anketell Strategic Industrial Area,Anketell Strategic Industrial Area,Infrastructure,Other,Under Development,Unassigned,Other (Minedex Non-Minerals),Pilbara,City Of Karratha,117.072268,-20.667760,Y
S0246906,J07138,Boodarie Strategic Industrial Area,Boodarie Strategic Industrial Area,Anketell Strategic Industrial Area,Infrastructure,Other,Proposed,Unassigned,Other (Minedex Non-Minerals),Pilbara,Town Of Port Hedland,118.524433,-20.411730,Y
S0246907,J07139,Browse LNG Precinct Strategic Industrial Area,Browse LNG Strategic Industrial Area,Browse LNG Strategic Industrial Area,Infrastructure,Other,Proposed,Unassigned,Other (Minedex Non-Minerals),Kimberley,Shire Of Broome,122.164352,-17.512855,Y
S0246909,J07141,Maitland Strategic Industrial Area,Maitland Strategic Industrial Area,Maitland Strategic Industrial Area,Infrastructure,Other,Proposed,Unassigned,Other (Minedex Non-Minerals),Pilbara,City Of Karratha,116.596375,-20.798726,Y
S0246911,J07142,Oakajee Strategic Industrial Area,Oakajee Strategic Industrial Area,Oakajee Strategic Industrial Area,Infrastructure,Other,Proposed,Unassigned,Other (Minedex Non-Minerals),Mid-West,Shire Of Chapman Valley,114.612817,-28.599635,Y
S0246912,J07143,Mungari Strategic Industrial Area,Mungari Strategic Industrial Area,Mungari Strategic Industrial Area,Infrastructure,Other,Proposed,Unassigned,Other (Minedex Non-Minerals),Goldfields-Esperance,Shire Of Coolgardie,121.256766,-30.854690,Y
S0246915,J07146,Kwinana Strategic Industrial Area,Kwinana Strategic Industrial Area,Kwinana Strategic Industrial Area,Infrastructure,Other,Proposed,Unassigned,Other (Minedex Non-Minerals),,City Of Kwinana,115.768125,-32.212781,Y
