SITE_CODE,SHORT_TITLE,TITLE,SITE_TYPE,SUB_TYPE,STAGE,PROJ_CODE,PROJECT_TITLE,LONGITUDE,LATITUDE,EASTING,NORTHING,MGA_ZONE,COMMODITIES,COMMODITY_GROUP_NAME,TARGET_GROUP_NAME,MAP_LABEL_NAME,INCLUDE_COMMODITY_FLAG,MAP_COMMODITIES,ACTIVE_FLAG,SYMBOL,SYMBOL_STATUS,MAP_SERIES,CONFIDENTIALITY,MAP_SHEET_NO_100K,MAP_SHEET_NAME_100K,MAP_SHEET_NO_250K,MAP_SHEET_NAME_250K,LGA_NAME,DEVELOPMENT_REGION,DISTRICT_NO,DISTRICT_NAME,TECTONIC_UNIT,EXTRACT_DATE
S0234476,Deflector UG,Deflector Underground,Mine,Decline,Operating,J00147,Deflector,116.379451,-28.668979,439366,6828530,50,Au Cu Ag,Precious metal,GOLD,Deflector Au Cu Ag,Y,Au Cu Ag,Y,PRME,O,Major Projects,Public,2140,MELLENBYE,SH50-02,YALGOO,"YALGOO, SHIRE OF","MID-WEST, Development Region",59,YALGOO M.F.,Youanmi Terrane,20260515
S0000033,Big Bell UG,Big Bell Underground,Mine,Decline,Operating,J00017,Cue Gold - Central Murchison,117.655367,-27.318646,564839,6978101,50,Au Ag,Precious metal,GOLD,Cue Gold - Central Murchison,N,,Y,PRME,O,Major Projects,Public,2443,CUE,SG50-15,CUE,"CUE, SHIRE OF","MID-WEST, Development Region",20,CUE,Youanmi Terrane,20260515
S0000793,Youanmi Deeps,Youanmi Deeps,Mine,Decline,Shut,J00367,Youanmi Gold - OYG,118.839978,-28.610085,679899,6833829,50,Au Ag,Precious metal,GOLD,Youanmi,N,,Y,PRME,P,Major Projects,Public,2640,YOUANMI,SH50-04,YOUANMI,"SANDSTONE, SHIRE OF","MID-WEST, Development Region",57,BLACK RANGE,Youanmi Terrane,20260515
S0000866,Harbour View,Harbour View,Mine,Decline,Proposed,J00191,Ravensthorpe Gold,120.196414,-33.681787,240093,6269598,51,Au Cu Ag,Precious metal,GOLD,Ravensthorpe Au Cu Ag,Y,Au Cu Ag,Y,PRME,P,Major Projects,Public,2930,RAVENSTHORPE,SI51-05,RAVENSTHORPE,"RAVENSTHORPE, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",74,PHILLIPS RIVER M.F.,Youanmi Terrane,20260515
S0001256,Gossan Hill U/G,Gossan Hill Portal,Mine,Decline,Operating,J00527,Golden Grove,116.962417,-28.765074,496331,6818041,50,Cu Zn Pb Ag Au,Base metal,COPPER - LEAD - ZINC,Golden Grove Cu Zn Pb Ag Au,Y,Cu Zn Pb Ag Au,Y,BAME,O,Major Projects,Public,2240,BADJA,SH50-02,YALGOO,"YALGOO, SHIRE OF","MID-WEST, Development Region",59,YALGOO M.F.,Youanmi Terrane,20260515
S0001758,Cove,Cove - Barrambie,Mine,Openpit,Proposed,J00789,Barrambie Vanadium-Titanium,119.121109,-27.433228,709661,6963790,50,V Ti Mag,Steel alloy metal,VANADIUM - TITANIUM,Barrambie V Ti Mag,Y,V Ti Mag,Y,STAM,P,Major Projects,Public,2743,YOUNO DOWNS,SG50-16,SANDSTONE,"SANDSTONE, SHIRE OF","MID-WEST, Development Region",57,BLACK RANGE,Youanmi Terrane,20260515
S0001764,Windimurra Northern,Windimurra Northern,Mine,Openpit,Proposed,J00793,Windimurra Vanadium,118.529969,-28.291607,650033,6869545,50,V Mag Fe,Steel alloy metal,VANADIUM - TITANIUM,Windimurra V Mag,Y,V Mag Fe,Y,STAM,P,Major Projects,Public,2641,WINDIMURRA,SH50-04,YOUANMI,"MOUNT MAGNET, SHIRE OF","MID-WEST, Development Region",58,MT. MAGNET,Youanmi Terrane,20260515
S0001774,Gabanintha Vanadium/AV,Gabanintha Vanadium / AVL,Mine,Openpit,Proposed,J00800,Australian Vanadium project  - Gabanintha,118.646265,-26.967599,663395,7016089,50,V Ti Mag Co Ni Cu,Steel alloy metal,VANADIUM - TITANIUM,Australian Vanadium V Ti Mag,Y,V Ti Mag Co Ni Cu,Y,STAM,P,Major Projects,Public,2644,GABANINTHA,SG50-12,GLENGARRY,"MEEKATHARRA, SHIRE OF","MID-WEST, Development Region",51,MEEKATHARRA,Youanmi Terrane,20260515
S0001820,Mulgine Trench,Mulgine Trench,Deposit,Unspecified,Undeveloped,J02784,Mt Mulgine Tungsten,116.961847,-29.172054,496290,6772951,50,W Mo Au Ag,Steel alloy metal,TUNGSTEN - MOLYBDENUM,Mt Mulgine W Mo Au Ag,Y,W Mo Au Ag,Y,STAM,P,Major Projects,Public,2239,ROTHSAY,SH50-06,PERENJORI,"PERENJORI, SHIRE OF","MID-WEST, Development Region",59,YALGOO M.F.,Youanmi Terrane,20260515
S0002167,Dowling Pit,Mt Cattlin - Dowling Openpit,Mine,Openpit,Care and Maintenance,J01005,Mt Cattlin Spodumene,120.033992,-33.562492,224651,6282410,51,Li Ta Nb,Speciality metal,TIN - TANTALUM - LITHIUM,Mt Cattlin Li Ta Nb,Y,Li Ta Nb,Y,SPME,C,Major Projects,Public,2930,RAVENSTHORPE,SI51-05,RAVENSTHORPE,"RAVENSTHORPE, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",74,PHILLIPS RIVER M.F.,Youanmi Terrane,20260515
S0003180,Hornet UG,Hornet Underground,Deposit,Unspecified,Undeveloped,J00245,Mt Gibson Gold,117.181672,-29.720641,517571,6712156,50,Au Ag,Precious metal,GOLD,Mt Gibson Gold,N,,Y,PRME,P,Major Projects,Public,2338,MOUNT GIBSON,SH50-07,NINGHAN,"YALGOO, SHIRE OF","MID-WEST, Development Region",59,YALGOO M.F.,Youanmi Terrane,20260515
S0004178,Cosmic Boy Plant,Cosmic Boy Plant,Infrastructure,Processing Plant,Care and Maintenance,J00757,Forrestania Nickel / Western Areas,119.742808,-32.580907,757467,6391851,50,Ni,Steel alloy metal,NICKEL,Cosmic Boy Concentrator,N,,Y,MIPL,O,Major Projects,Public,2832,IRONCAP,SI50-04,HYDEN,"KONDININ, SHIRE OF","WHEATBELT, Development Region",77,YILGARN M.F.,Youanmi Terrane,20260515
S0006503,Eureka,Eureka - Sandstone,Mine,Openpit,Proposed,J05290,Central Sandstone / Aurumin,119.248976,-28.095717,720961,6890151,50,Au Ag,Precious metal,GOLD,Central Sandstone,N,,Y,PRME,P,Major Projects,Public,2741,ATLEY,SH50-04,YOUANMI,"SANDSTONE, SHIRE OF","MID-WEST, Development Region",57,BLACK RANGE,Youanmi Terrane,20260515
S0006685,Shoemaker-Levy,Shoemaker - Levy,Mine,Openpit,Care and Maintenance,J02145,Ravensthorpe - First Quantum,120.325462,-33.576402,251758,6281604,51,Ni Co Zn Cu,Steel alloy metal,NICKEL,Ravensthorpe Ni Co Zn Cu,Y,Ni Co Zn Cu,Y,STAM,C,Major Projects,Public,2930,RAVENSTHORPE,SI51-05,RAVENSTHORPE,"RAVENSTHORPE, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",74,PHILLIPS RIVER M.F.,Youanmi Terrane,20260515
S0019502,Victory Bore,Victory Bore,Deposit,Unspecified,Undeveloped,J02617,Victory Bore,118.989044,-28.2619,695115,6872181,50,V Mag Fe Ti,Steel alloy metal,VANADIUM - TITANIUM,Victory Bore V Ti Mag,Y,V Mag Fe Ti,Y,STAM,P,Major Projects,Public,2641,WINDIMURRA,SH50-04,YOUANMI,"SANDSTONE, SHIRE OF","MID-WEST, Development Region",57,BLACK RANGE,Youanmi Terrane,20260515
S0020742,Karara Magnetite,Karara - Blue Hills Magnetite,Mine,Openpit,Operating,J02815,Karara - Blue Hills / Gindalbie,116.774437,-29.187531,478070,6771216,50,Fe Mag,Iron,IRON ORE,Karara – Blue Hills Mag,Y,Fe Mag,Y,IRON,O,Major Projects,Public,2239,ROTHSAY,SH50-06,PERENJORI,"PERENJORI, SHIRE OF","MID-WEST, Development Region",59,YALGOO M.F.,Youanmi Terrane,20260515
S0022045,Extension Hill South,Extension Hill South,Mine,Openpit,Operating,J00596,Mt Gibson Iron,117.166209,-29.588477,516096,6726801,50,Fe Mag,Iron,IRON ORE,Mt Gibson Iron Mag,Y,Fe Mag,Y,IRON,O,Major Projects,Public,2338,MOUNT GIBSON,SH50-07,NINGHAN,"YALGOO, SHIRE OF","MID-WEST, Development Region",59,YALGOO M.F.,Youanmi Terrane,20260515
S0022686,C4,C4 - Wiluna West,Mine,Openpit,Operating,J03041,Wiluna West Iron,119.937312,-26.680347,792322,7045602,50,Fe,Iron,IRON ORE,Wiluna West,N,,Y,IRON,O,Major Projects,Public,2844,MEREWETHER,SG50-12,GLENGARRY,"WILUNA, SHIRE OF","MID-WEST, Development Region",53,WILUNA,Youanmi Terrane,20260515
S0022914,Snark,Snark – Lake Giles,Mine,Openpit,Proposed,J03340,Lake Giles Magnetite and Ularring Hematite,119.921925,-29.811568,782406,6698512,50,Fe Mag,Iron,IRON ORE,Lake Giles Mag,Y,Fe Mag,Y,IRON,P,Major Projects,Public,2838,LAKE GILES,SH50-08,BARLEE,"MENZIES, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",30,ULARRING,Youanmi Terrane,20260515
S0023105,Iron Ridge,Iron Ridge,Mine,Openpit,Operating,J05539,Iron Ridge,117.684512,-26.943926,567949,7019591,50,Fe Mn Ti,Iron,IRON ORE,Iron Ridge,N,,Y,IRON,O,Major Projects,Public,2444,MADOONGA,SG50-11,BELELE,"CUE, SHIRE OF","MID-WEST, Development Region",20,CUE,Youanmi Terrane,20260515
S0023170,Shine,Shine,Mine,Openpit,Operating,J04475,Shine,116.936541,-28.85152,493810,6808463,50,Fe Mag Ti Mn,Iron,IRON ORE,Shine Mag,Y,Fe Mag Ti Mn,Y,IRON,O,Major Projects,Public,2240,BADJA,SH50-02,YALGOO,"YALGOO, SHIRE OF","MID-WEST, Development Region",59,YALGOO M.F.,Youanmi Terrane,20260515
S0023347,Mungada East Ext,Mungada East Extension,Mine,Openpit,Operating,J02673,Koolanooka & Blue Hills - Mungada / Sinosteel,116.888661,-29.140211,489170,6776474,50,Fe,Iron,IRON ORE,Koolanooka and Blue Hills,N,,Y,IRON,O,Major Projects,Public,2239,ROTHSAY,SH50-06,PERENJORI,"PERENJORI, SHIRE OF","MID-WEST, Development Region",59,YALGOO M.F.,Youanmi Terrane,20260515
S0237036,Eridanus,Eridanus,Mine,Openpit,Operating,J00156,Mt Magnet,117.781685,-28.074872,576805,6894256,50,Au Ag,Precious metal,GOLD,Mt Magnet,N,,Y,PRME,O,Major Projects,Public,2441,MOUNT MAGNET,SH50-03,KIRKALOCKA,"MOUNT MAGNET, SHIRE OF","MID-WEST, Development Region",58,MT. MAGNET,Youanmi Terrane,20260515
S0023569,Mt Caudan Central,Mt Caudan Central Open Pit,Mine,Openpit,Operating,J03500,Parker Range - Mt Caudan Iron,119.555631,-31.614555,742433,6499450,50,Fe,Iron,IRON ORE,Parker Range - Mt Caudan Iron,N,,Y,IRON,O,Major Projects,Public,2834,CHERITONS FIND,SH50-16,SOUTHERN CROSS,"YILGARN, SHIRE OF","WHEATBELT, Development Region",77,YILGARN M.F.,Youanmi Terrane,20260515
S0238461,Power Plant,Iron Ridge Power Plant,Infrastructure,Power Plant,Operating,J05539,Iron Ridge,117.679335,-26.954592,567428,7018412,50,Fe,Iron,IRON ORE,Iron Ridge Power Plant,N,,Y,ENPL,O,Major Projects,Public,2444,MADOONGA,SG50-11,BELELE,"CUE, SHIRE OF","MID-WEST, Development Region",20,CUE,Youanmi Terrane,20260515
S0238929,Power Station,Tuckabianna Power Station,Infrastructure,Power Plant,Operating,J00347,Murchison / Westgold,118.146625,-27.455809,613304,6962555,50,Au,Precious metal,GOLD,Tuckabianna Power Station,N,,Y,ENPL,O,Major Projects,Public,2543,REEDY,SG50-15,CUE,"CUE, SHIRE OF","MID-WEST, Development Region",20,CUE,Youanmi Terrane,20260515
S0234095,Earl Grey Lithium Pit,Earl Grey Lithium Mine Pit,Mine,Openpit,Operating,J04872,Mt Holland Lithium / Wesfarmers & SQM,119.747965,-32.092628,759342,6445990,50,Li,Speciality metal,TIN - TANTALUM - LITHIUM,Mt Holland Lithium,Y,Li,Y,SPME,O,Major Projects,Public,2833,HOLLAND,SI50-04,HYDEN,"YILGARN, SHIRE OF","WHEATBELT, Development Region",77,YILGARN M.F.,Youanmi Terrane,20260515
S0237465,Penny North UG,Penny North Underground,Mine,Decline,Operating,J05525,Penny Gold,118.810258,-28.853313,676583,6806919,50,Au Ag,Precious metal,GOLD,Penny Gold,N,,Y,PRME,O,Major Projects,Public,2640,YOUANMI,SH50-04,YOUANMI,"SANDSTONE, SHIRE OF","MID-WEST, Development Region",57,BLACK RANGE,Youanmi Terrane,20260515
S0224710,Deception,Deception / Cliffs,Mine,Openpit,Operating,J00559,Koolyanobbing Iron,119.280926,-29.850385,720348,6695609,50,Fe Hem,Iron,IRON ORE,Koolyanobbing Iron,N,,Y,IRON,O,Major Projects,Public,2738,JOHNSTON RANGE,SH50-08,BARLEE,"MENZIES, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",77,YILGARN M.F.,Youanmi Terrane,20260515
S0240820,Power Station,Bluebird Power Station - Hybrid Power and Powerline,Infrastructure,Power Plant,Operating,J00017,Cue Gold - Central Murchison,118.433116,-26.710332,642558,7044845,50,Power,Energy,OTHER,Bluebird Power Station,N,,Y,ENPL,O,Major Projects,Public,2544,MEEKATHARRA,SG50-11,BELELE,"MEEKATHARRA, SHIRE OF","MID-WEST, Development Region",51,MEEKATHARRA,Youanmi Terrane,20260515
S0241343,Rhapsody,Rhapsody,Mine,Openpit,Operating,J00226,Marvel Loch - Southern Cross,119.541813,-31.501183,741414,6512052,50,Au Ag,Precious metal,GOLD,Marvel Loch - Southern Cross,N,,Y,PRME,O,Major Projects,Public,2834,CHERITONS FIND,SH50-16,SOUTHERN CROSS,"YILGARN, SHIRE OF","WHEATBELT, Development Region",77,YILGARN M.F.,Youanmi Terrane,20260515
S0241815,Sandy Ridge Solar Panel Farm / Tellus,Sandy Ridge Kaolin Solar Panel Farm / Tellus,Infrastructure,Power Plant,Under Development,J04723,Sandy Ridge Kaolin / Tellus,120.097709,-30.366087,221055,6637074,51,Kln,Industrial mineral,CLAYS,Sandy Ridge Solar Farm,N,,Y,ENPL,O,Major Projects,Public,2937,NEARANGING,SH51-09,KALGOORLIE,"COOLGARDIE, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",16,KUNANALLING,Youanmi Terrane,20260515
S0243541,Solar Farm,Mt Magnet Solar Farm,Infrastructure,Power Plant,Operating,J00156,Mt Magnet,117.833866,-28.034318,581963,6898715,50,Power,Energy,OTHER,Mt Magnet Solar Farm,N,,Y,ENPL,O,Major Projects,Public,2441,MOUNT MAGNET,SH50-03,KIRKALOCKA,"MOUNT MAGNET, SHIRE OF","MID-WEST, Development Region",58,MT. MAGNET,Youanmi Terrane,20260515
S0243542,Diesal Power Plant,Mt Magnet Diesal Power Plant,Infrastructure,Power Plant,Operating,J00156,Mt Magnet,117.8187,-28.029764,580476,6899229,50,Power,Energy,OTHER,Mt Magnet Diesal Power Plant,N,,Y,ENPL,O,Major Projects,Public,2441,MOUNT MAGNET,SH50-03,KIRKALOCKA,"MOUNT MAGNET, SHIRE OF","MID-WEST, Development Region",58,MT. MAGNET,Youanmi Terrane,20260515
S0023098,W11,W11 - Beebyn,Mine,Openpit,Operating,J00755,Weld Range Iron Ore,117.837012,-26.873566,583138,7027293,50,Fe,Iron,IRON ORE,Weld Range Iron Ore,N,,Y,IRON,P,Major Projects,Public,2444,MADOONGA,SG50-11,BELELE,"CUE, SHIRE OF","MID-WEST, Development Region",51,MEEKATHARRA,Youanmi Terrane,20260515
S0236372,Crown Prince W,Crown Prince West,Mine,Openpit,Operating,J01772,Garden Gully / New Murchison,118.464348,-26.448724,645996,7073790,50,Au Ag,Precious metal,GOLD,Garden Gully,N,,Y,PRME,P,Major Projects,Public,2545,TIERACO,SG50-11,BELELE,"MEEKATHARRA, SHIRE OF","MID-WEST, Development Region",51,MEEKATHARRA,Youanmi Terrane,20260515
S0229694,Rebecca,Rebecca,Deposit,Unspecified,Undeveloped,J04276,Rebecca,122.863141,-30.358612,486848,6641469,51,Au Ag,Precious metal,GOLD,Rebecca,N,,Y,PRME,P,Major Projects,Public,3437,PINJIN,SH51-10,KURNALPI,"KALGOORLIE-BOULDER, CITY OF","GOLDFIELDS-ESPERANCE, Development Region",28,KURNALPI,Eastern Goldfields Superterrane,20260515
S0230607,Neptune,Neptune / St Ives,Mine,Openpit,Operating,J00178,Kambalda - St Ives,121.74553,-31.300004,380613,6536470,51,Au Ag,Precious metal,GOLD,St Ives,N,,Y,PRME,O,Major Projects,Public,3235,LAKE LEFROY,SH51-14,WIDGIEMOOLTHA,"COOLGARDIE, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",15,COOLGARDIE,Eastern Goldfields Superterrane,20260515
S0231406,Power Plant,Daisy Milano Power Plant,Infrastructure,Power Plant,Operating,J00251,Randalls - Mt Monger,121.927461,-31.013166,397620,6568445,51,Power,Energy,OTHER,Daisy Milano Power Plant,N,,Y,ENPL,O,Major Projects,Public,3235,LAKE LEFROY,SH51-14,WIDGIEMOOLTHA,"KALGOORLIE-BOULDER, CITY OF","GOLDFIELDS-ESPERANCE, Development Region",26,EAST COOLGARDIE,Eastern Goldfields Superterrane,20260515
S0231766,Karari UG,Karari Underground Main and Exploration Declines,Mine,Decline,Operating,J02241,Carosue Dam - Khartoum,122.359244,-30.159159,438299,6663405,51,Au Ag,Precious metal,GOLD,Carosue Dam,N,,Y,PRME,O,Major Projects,Public,3337,MULGABBIE,SH51-10,KURNALPI,"KALGOORLIE-BOULDER, CITY OF","GOLDFIELDS-ESPERANCE, Development Region",28,KURNALPI,Eastern Goldfields Superterrane,20260515
S0232136,Millennium UG,Millennium,Mine,Decline,Operating,J00358,Kundana - White Flag,121.237823,-30.707865,331248,6601448,51,Au Ag,Precious metal,GOLD,Kundana - White Flag,N,,Y,PRME,O,Major Projects,Public,3136,KALGOORLIE,SH51-09,KALGOORLIE,"COOLGARDIE, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",16,KUNANALLING,Eastern Goldfields Superterrane,20260515
S0232513,Power Station,Sunrise Dam Power Station,Infrastructure,Power Plant,Operating,J01703,Sunrise Dam,122.439058,-29.092441,445412,6781643,51,Au,Precious metal,GOLD,Sunrise Dam Power Station,N,,Y,ENPL,O,Major Projects,Public,3339,LAKE CAREY,SH51-06,EDJUDINA,"LAVERTON, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",39,MT. MORGANS,Eastern Goldfields Superterrane,20260515
S0232728,Zoroastrian Central,Zoroastrian Central,Mine,Openpit,Proposed,J02816,Kalgoorlie North,121.284819,-30.337147,335125,6642608,51,Au Ag,Precious metal,GOLD,Kalgoorlie North,N,,Y,PRME,P,Major Projects,Public,3137,BARDOC,SH51-09,KALGOORLIE,"KALGOORLIE-BOULDER, CITY OF","GOLDFIELDS-ESPERANCE, Development Region",24,BROAD ARROW M.F.,Eastern Goldfields Superterrane,20260515
S0232796,Power Station,Granny Smith Power Station,Infrastructure,Power Plant,Operating,J00134,Granny Smith,122.357394,-28.843291,437315,6809207,51,Au,Precious metal,GOLD,Granny Smith Power Station,N,,Y,ENPL,O,Major Projects,Public,3340,LAVERTON,SH51-02,LAVERTON,"LAVERTON, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",38,MT. MARGARET,Eastern Goldfields Superterrane,20260515
S0234331,Beta Hunt,Beta Hunt Underground Gold,Mine,Decline,Operating,J04930,Kambalda Gold / RNC,121.689952,-31.242525,375247,6542780,51,Au Ag Ni,Precious metal,GOLD,Kambalda Au Ag Ni,Y,Au Ag Ni,Y,PRME,O,Major Projects,Public,3235,LAKE LEFROY,SH51-14,WIDGIEMOOLTHA,"COOLGARDIE, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",15,COOLGARDIE,Eastern Goldfields Superterrane,20260515
S0234340,Power Plant,Rubicon Power Plant,Infrastructure,Power Plant,Proposed,J01718,Kundana East,121.261449,-30.746316,333577,6597221,51,Power,Energy,OTHER,Rubicon Power Plant,N,,Y,ENPL,O,Major Projects,Public,3136,KALGOORLIE,SH51-09,KALGOORLIE,"COOLGARDIE, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",15,COOLGARDIE,Eastern Goldfields Superterrane,20260515
S0234764,Kamperman,Kamperman,Deposit,Unspecified,Undeveloped,J03724,Feysville,121.583848,-30.931857,364703,6577091,51,Au Ag,Precious metal,GOLD,Feysville,N,,Y,PRME,P,Major Projects,Public,3236,KANOWNA,SH51-10,KURNALPI,"KALGOORLIE-BOULDER, CITY OF","GOLDFIELDS-ESPERANCE, Development Region",26,EAST COOLGARDIE,Eastern Goldfields Superterrane,20260515
S0234790,Power Station,Kundana Power Station,Infrastructure,Power Plant,Operating,J00358,Kundana - White Flag,121.240802,-30.711329,331540,6601068,51,Power,Energy,OTHER,Kundana Power Station,N,,Y,ENPL,O,Major Projects,Public,3136,KALGOORLIE,SH51-09,KALGOORLIE,"COOLGARDIE, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",16,KUNANALLING,Eastern Goldfields Superterrane,20260515
S0235008,Cannon UG,Cannon Underground,Mine,Decline,Proposed,J03557,Bulong South Gold,121.762912,-30.816281,381670,6590104,51,Au Ag,Precious metal,GOLD,Bulong South Gold,N,,Y,PRME,P,Major Projects,Public,3236,KANOWNA,SH51-10,KURNALPI,"KALGOORLIE-BOULDER, CITY OF","GOLDFIELDS-ESPERANCE, Development Region",25,BULONG,Eastern Goldfields Superterrane,20260515
S0000053,Southern Stockworks,Boorara Open Pit - Southern Stockworks,Mine,Openpit,Care and Maintenance,J02851,Boorara / Horizon,121.644094,-30.80928,370294,6590748,51,Au Ag,Precious metal,GOLD,Boorara,N,,Y,PRME,O,Major Projects,Public,3236,KANOWNA,SH51-10,KURNALPI,"KALGOORLIE-BOULDER, CITY OF","GOLDFIELDS-ESPERANCE, Development Region",26,EAST COOLGARDIE,Eastern Goldfields Superterrane,20260515
S0000137,Cork Tree Well,Cork Tree Well,Mine,Openpit,Shut,J00075,Cork Tree Well - Delta,122.404413,-28.338636,441624,6865141,51,Au Ag,Precious metal,GOLD,Cork Tree Well,N,,Y,PRME,P,Major Projects,Public,3341,MOUNT VARDEN,SH51-02,LAVERTON,"LAVERTON, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",38,MT. MARGARET,Eastern Goldfields Superterrane,20260515
S0000258,Goongarrie Lady,Goongarrie Lady,Mine,Openpit,Operating,J04956,Goongarrie Lady,121.184491,-30.081341,325027,6670812,51,Au Ag,Precious metal,GOLD,Goongarrie Lady,N,,Y,PRME,O,Major Projects,Public,3137,BARDOC,SH51-09,KALGOORLIE,"MENZIES, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",29,MENZIES,Eastern Goldfields Superterrane,20260515
S0000352,Jeffreys,Jeffreys Find,Mine,Openpit,Care and Maintenance,J00170,Jeffreys Find,122.151147,-31.94642,419773,6465189,51,Au Ag,Precious metal,GOLD,Jeffreys Find,N,,Y,PRME,O,Major Projects,Public,3334,YARDINA,SH51-14,WIDGIEMOOLTHA,"DUNDAS, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",63,DUNDAS M.F.,Eastern Goldfields Superterrane,20260515
S0000357,Jupiter,Jupiter - Joanne - Doublejay,Mine,Openpit,Operating,J00256,Mt Morgans,122.219297,-28.807175,423818,6813127,51,Au Ag,Precious metal,GOLD,Mt Morgans,N,,Y,PRME,O,Major Projects,Public,3340,LAVERTON,SH51-02,LAVERTON,"LAVERTON, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",39,MT. MORGANS,Eastern Goldfields Superterrane,20260515
S0000404,Newhaven,Newhaven,Mine,Openpit,Operating,J01338,Phillips Find,120.965996,-30.612844,305022,6611541,51,Au Ag,Precious metal,GOLD,Phillips Find,N,,Y,PRME,O,Major Projects,Public,3036,DUNNSVILLE,SH51-09,KALGOORLIE,"COOLGARDIE, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",16,KUNANALLING,Eastern Goldfields Superterrane,20260515
S0000426,Flushing Meadows,Flushing Meadows,Deposit,Unspecified,Undeveloped,J01616,Ironstone Well,120.781908,-26.840597,279589,7029293,51,Au Ag,Precious metal,GOLD,Ironstone Well,N,,Y,PRME,P,Major Projects,Public,3044,LAKE VIOLET,SG51-09,WILUNA,"WILUNA, SHIRE OF","MID-WEST, Development Region",53,WILUNA,Eastern Goldfields Superterrane,20260515
S0000584,Malcolm,Malcolm,Mine,Openpit,Operating,J00270,Malcolm Challenger Gold - Murrin Murrin,121.817764,-28.899707,384735,6802551,51,Au,Precious metal,GOLD,Malcolm Challenger Gold,N,,Y,PRME,O,Major Projects,Public,3240,MINERIE,SH51-02,LAVERTON,"LEONORA, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",39,MT. MORGANS,Eastern Goldfields Superterrane,20260515
S0000709,Second Fortune,Second Fortune,Mine,Decline,Operating,J02325,Linden Gold,122.435829,-29.376492,445250,6750169,51,Au Ag,Precious metal,GOLD,Linden Gold,N,,Y,PRME,O,Major Projects,Public,3339,LAKE CAREY,SH51-06,EDJUDINA,"MENZIES, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",39,MT. MORGANS,Eastern Goldfields Superterrane,20260515
S0000811,Anglo Saxon,Anglo Saxon - Trouser Legs,Mine,Openpit,Care and Maintenance,J00424,Anglo Saxon - Trouser Legs,122.731489,-30.076767,474123,6672678,51,Au Ag,Precious metal,GOLD,Anglo Saxon - Trouser Legs,N,,Y,PRME,O,Major Projects,Public,3437,PINJIN,SH51-10,KURNALPI,"MENZIES, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",31,YERILLA,Eastern Goldfields Superterrane,20260515
S0000849,Greenfields Pit,Greenfields Openpit,Mine,Openpit,Operating,J00014,Coolgardie Gold / Focus,121.200923,-30.932811,328115,6576457,51,Au Ag,Precious metal,GOLD,Coolgardie Gold,N,,Y,PRME,O,Major Projects,Public,3136,KALGOORLIE,SH51-09,KALGOORLIE,"COOLGARDIE, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",15,COOLGARDIE,Eastern Goldfields Superterrane,20260515
S0001112,Emu,Emu - Bottle Creek,Mine,Openpit,Operating,J00028,Bottle Creek,120.44681,-29.154026,251646,6772252,51,Au Ag,Precious metal,GOLD,Bottle Creek,N,,Y,PRME,O,Major Projects,Public,2939,MOUNT MASON,SH51-05,MENZIES,"MENZIES, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",29,MENZIES,Eastern Goldfields Superterrane,20260515
S0001178,Black Swan,Black Swan - Gosling,Mine,Openpit,Proposed,J00452,Silver Swan - Black Swan,121.648884,-30.393485,370199,6636838,51,Ni,Steel alloy metal,NICKEL,Silver Swan – Black Swan Ni,Y,Ni,Y,STAM,P,Major Projects,Public,3237,GINDALBIE,SH51-10,KURNALPI,"KALGOORLIE-BOULDER, CITY OF","GOLDFIELDS-ESPERANCE, Development Region",27,KANOWNA,Eastern Goldfields Superterrane,20260515
S0001288,Durkin N,Durkin North,Mine,Decline,Care and Maintenance,J02628,Kambalda / Mincor,121.661211,-31.164036,372405,6551448,51,Ni Cu Co,Steel alloy metal,NICKEL,Kambalda Ni Cu Co,Y,Ni Cu Co,Y,STAM,C,Major Projects,Public,3235,LAKE LEFROY,SH51-14,WIDGIEMOOLTHA,"KALGOORLIE-BOULDER, CITY OF","GOLDFIELDS-ESPERANCE, Development Region",26,EAST COOLGARDIE,Eastern Goldfields Superterrane,20260515
