SITE_CODE,SHORT_TITLE,TITLE,SITE_TYPE,SUB_TYPE,STAGE,PROJ_CODE,PROJECT_TITLE,LONGITUDE,LATITUDE,EASTING,NORTHING,MGA_ZONE,COMMODITIES,COMMODITY_GROUP_NAME,TARGET_GROUP_NAME,MAP_LABEL_NAME,INCLUDE_COMMODITY_FLAG,MAP_COMMODITIES,ACTIVE_FLAG,SYMBOL,SYMBOL_STATUS,MAP_SERIES,CONFIDENTIALITY,MAP_SHEET_NO_100K,MAP_SHEET_NAME_100K,MAP_SHEET_NO_250K,MAP_SHEET_NAME_250K,LGA_NAME,DEVELOPMENT_REGION,DISTRICT_NO,DISTRICT_NAME,TECTONIC_UNIT,EXTRACT_DATE
S0224380,Iron Valley (Central),Iron Valley Stage 1,Mine,Openpit,Operating,J03682,Iron Valley,119.312624,-22.7317,737513,7484328,50,Fe,Iron,IRON ORE,Iron Valley,N,,Y,IRON,O,Major Projects,Public,2752,WEELI WOLLI,SF50-12,ROY HILL,"EAST PILBARA, SHIRE OF","PILBARA, Development Region",47,WEST PILBARA M.F.,Hamersley Basin,20260515
S0224496,Buckland,Bungaroo South Eastern Area 1,Mine,Openpit,Proposed,J03830,Buckland - Bungaroo South,116.523841,-22.010628,450854,7565920,50,Fe,Iron,IRON ORE,Buckland - Bungaroo South,N,,Y,IRON,P,Major Projects,Public,2253,FARQUHAR,SF50-10,WYLOO,"ASHBURTON, SHIRE OF","PILBARA, Development Region",47,WEST PILBARA M.F.,Hamersley Basin,20260515
S0229860,Yarnima Power,Yarnima Gas-Fired Power Station,Infrastructure,Power Plant,Operating,J00623,Newman / BHPB,119.710194,-23.343145,777109,7415895,50,Power,Energy,OTHER,Yarnima Gas,N,,Y,ENPL,O,Major Projects,Public,2851,NEWMAN,SF50-16,NEWMAN,"EAST PILBARA, SHIRE OF","PILBARA, Development Region",52,PEAK HILL M.F.,Hamersley Basin,20260515
S0235993,Sierra Pits,Sierra - Roy Hill,Mine,Openpit,Operating,J02889,Roy Hill Iron Ore,120.01153,-22.557201,192648,7502420,51,Fe,Iron,IRON ORE,Roy Hill Iron Ore,N,,Y,IRON,O,Major Projects,Public,2952,ETHEL CREEK,SF51-09,BALFOUR DOWNS,"EAST PILBARA, SHIRE OF","PILBARA, Development Region",46,NULLAGINE,Hamersley Basin,20260515
S0001172,George Palmer,George Palmer Pit,Mine,Openpit,Operating,J00446,Sino - Cape Preston Iron,116.141306,-21.081327,410802,7668611,50,Fe Mag Fe2O3,Iron,IRON ORE,Sino Iron Mag,Y,Fe Mag Fe2O3,Y,IRON,O,Major Projects,Public,2155,FORTESCUE,SF50-06,YARRALOOLA,"KARRATHA, CITY OF","PILBARA, Development Region",8,ASHBURTON M.F.,Hamersley Basin,20260515
S0001224,Deepdale J,"Deepdale Mesa J Pits 1-12, J Extended",Mine,Openpit,Operating,J00484,Robe River - Deepdale,116.247364,-21.751424,422176,7594497,50,Fe,Iron,IRON ORE,Robe River - Deepdale,N,,Y,IRON,O,Major Projects,Public,2154,PANNAWONICA,SF50-06,YARRALOOLA,"ASHBURTON, SHIRE OF","PILBARA, Development Region",8,ASHBURTON M.F.,Hamersley Basin,20260515
S0001346,Wheelarra 4,Wheelarra 4,Mine,Openpit,Operating,J00573,Jimblebar-Wheelarra-Hashimoto / BHPB,120.13711,-23.380316,207351,7411475,51,Fe,Iron,IRON ORE,Jimblebar/Wheelarra,N,,Y,IRON,O,Major Projects,Public,2951,MURRAMUNDA,SF51-13,ROBERTSON,"EAST PILBARA, SHIRE OF","PILBARA, Development Region",52,PEAK HILL M.F.,Hamersley Basin,20260515
S0001402,Mt Whaleback,Mt Whaleback,Mine,Openpit,Operating,J00623,Newman / BHPB,119.67541,-23.365347,773505,7413501,50,Fe,Iron,IRON ORE,Newman,N,,Y,IRON,O,Major Projects,Public,2851,NEWMAN,SF50-16,NEWMAN,"EAST PILBARA, SHIRE OF","PILBARA, Development Region",52,PEAK HILL M.F.,Hamersley Basin,20260515
S0001607,MAC C West,MAC - Deposit C West Pit,Mine,Openpit,Operating,J00576,Mining Area C,118.962611,-22.929836,701262,7462903,50,Fe,Iron,IRON ORE,Mining Area C,N,,Y,IRON,O,Major Projects,Public,2652,MUNJINA,SF50-12,ROY HILL,"EAST PILBARA, SHIRE OF","PILBARA, Development Region",47,WEST PILBARA M.F.,Hamersley Basin,20260515
S0002984,Billiard,Billiard - Billiard South,Mine,Openpit,Operating,J00732,Yandicoogina / HI-Yandi,119.299578,-22.809561,736038,7475725,50,Fe,Iron,IRON ORE,Yandicoogina,N,,Y,IRON,O,Major Projects,Public,2752,WEELI WOLLI,SF50-12,ROY HILL,"EAST PILBARA, SHIRE OF","PILBARA, Development Region",47,WEST PILBARA M.F.,Hamersley Basin,20260515
S0003023,Marillana Ck E2,Marillana Creek Eastern Mesa 2,Mine,Openpit,Operating,J00571,Marillana Creek - Yandi / BHPB,119.113612,-22.741426,717051,7483555,50,Fe,Iron,IRON ORE,Marillana Creek - Yandi,N,,Y,IRON,O,Major Projects,Public,2752,WEELI WOLLI,SF50-12,ROY HILL,"EAST PILBARA, SHIRE OF","PILBARA, Development Region",47,WEST PILBARA M.F.,Hamersley Basin,20260515
S0020930,Newman Power,Newman Gas-Fired Power Station,Infrastructure,Power Plant,Operating,J00623,Newman / BHPB,119.708513,-23.344225,776935,7415779,50,Power,Energy,OTHER,Newman Gas,N,,Y,ENPL,O,Major Projects,Public,2851,NEWMAN,SF50-16,NEWMAN,"EAST PILBARA, SHIRE OF","PILBARA, Development Region",52,PEAK HILL M.F.,Hamersley Basin,20260515
S0022599,Susan Palmer,Susan Palmer (Balmoral Southern Block),Mine,Openpit,Proposed,J03378,Balmoral South / Australasian Resources,116.129482,-21.117823,409597,7664565,50,Fe Mag,Iron,IRON ORE,Balmoral South Mag,Y,Fe Mag,Y,IRON,P,Major Projects,Public,2155,FORTESCUE,SF50-06,YARRALOOLA,"KARRATHA, CITY OF","PILBARA, Development Region",8,ASHBURTON M.F.,Hamersley Basin,20260515
S0022982,NW Sector,Marillana - Northwest Sector,Mine,Openpit,Proposed,J03359,Marillana / Brockman - MRL JV,119.209612,-22.587486,727166,7500461,50,Fe,Iron,IRON ORE,Marillana,N,,Y,IRON,P,Major Projects,Public,2752,WEELI WOLLI,SF50-12,ROY HILL,"EAST PILBARA, SHIRE OF","PILBARA, Development Region",47,WEST PILBARA M.F.,Hamersley Basin,20260515
S0023221,Hardey Brockman,Hardey Brockman,Mine,Openpit,Proposed,J03418,Hardey / API,117.29112,-22.952741,529845,7461682,50,Fe,Iron,IRON ORE,Hardey,N,,Y,IRON,P,Major Projects,Public,2352,ROCKLEA,SF50-11,MOUNT BRUCE,"ASHBURTON, SHIRE OF","PILBARA, Development Region",47,WEST PILBARA M.F.,Hamersley Basin,20260515
S0023281,West End,Eliwana West End,Mine,Openpit,Operating,J03436,Western Hub / FMG,116.830564,-22.493673,482572,7512519,50,Fe,Iron,IRON ORE,Western Hub,N,,Y,IRON,O,Major Projects,Public,2253,FARQUHAR,SF50-10,WYLOO,"ASHBURTON, SHIRE OF","PILBARA, Development Region",47,WEST PILBARA M.F.,Hamersley Basin,20260515
S0023559,Kings,Kings-Solomon,Mine,Openpit,Operating,J01646,Solomon - Greater Solomon,117.869836,-22.159454,589687,7549267,50,Fe,Iron,IRON ORE,Solomon,N,,Y,IRON,O,Major Projects,Public,2453,MCRAE,SF50-11,MOUNT BRUCE,"ASHBURTON, SHIRE OF","PILBARA, Development Region",47,WEST PILBARA M.F.,Hamersley Basin,20260515
S0237402,Chichester Solar Farm,Chichester Solar Farm,Infrastructure,Other,Operating,J05516,Chichester Power,119.748401,-22.419358,782928,7518164,50,Power,Energy,OTHER,Chichester Power,N,,Y,ENPL,O,Major Projects,Public,2853,WARRIE,SF50-12,ROY HILL,"EAST PILBARA, SHIRE OF","PILBARA, Development Region",46,NULLAGINE,Hamersley Basin,20260515
S0237403,Power Substation,Roy Hill Power Substation,Infrastructure,Power Plant,Operating,J02889,Roy Hill Iron Ore,119.950167,-22.481549,803575,7510879,50,Power,Energy,OTHER,Roy Hill Power Substation,N,,Y,ENPL,O,Major Projects,Public,2853,WARRIE,SF50-12,ROY HILL,"EAST PILBARA, SHIRE OF","PILBARA, Development Region",46,NULLAGINE,Hamersley Basin,20260515
S0238495,PEG Power Station,Pilbara Energy Generation Power Station,Infrastructure,Power Plant,Operating,J06545,Pilbara Energy Generation Project,117.956378,-22.148309,598618,7550447,50,Power,Energy,OTHER,Pilbara Energy Generation Project,N,,Y,ENPL,O,Major Projects,Public,2453,MCRAE,SF50-11,MOUNT BRUCE,"ASHBURTON, SHIRE OF","PILBARA, Development Region",47,WEST PILBARA M.F.,Hamersley Basin,20260515
S0238785,Solar Farm,Gudai-Darri Solar Farm,Infrastructure,Power Plant,Operating,J00557,Gudai-Darri,119.091997,-22.529727,715160,7507032,50,Fe,Iron,IRON ORE,Gudai-Darri Solar Farm,N,,Y,ENPL,O,Major Projects,Public,2752,WEELI WOLLI,SF50-12,ROY HILL,"EAST PILBARA, SHIRE OF","PILBARA, Development Region",47,WEST PILBARA M.F.,Hamersley Basin,20260515
S0239697,Ridge E,Western Ridges E,Mine,Openpit,Proposed,J04564,Hancock / Alien,119.677494,-23.228025,773999,7428710,50,Fe,Iron,IRON ORE,Western Ridges,N,,Y,IRON,P,Major Projects,Public,2851,NEWMAN,SF50-16,NEWMAN,"EAST PILBARA, SHIRE OF","PILBARA, Development Region",47,WEST PILBARA M.F.,Hamersley Basin,20260515
S0239823,Bigge,Bigge - Cloudbreak,Mine,Openpit,Operating,J01407,East Pilbara Iron Ore / FMG,119.205939,-22.286145,727279,7533840,50,Fe,Iron,IRON ORE,East Pilbara Iron Ore,N,,Y,IRON,O,Major Projects,Public,2753,MOUNT MARSH,SF50-12,ROY HILL,"ASHBURTON, SHIRE OF","PILBARA, Development Region",45,MARBLE BAR,Hamersley Basin,20260515
S0223635,Delta 100,Blacksmith - Delta 100,Mine,Openpit,Proposed,J03678,Pilbara Iron (PIOP),117.47171,-22.136988,548643,7551935,50,Fe,Iron,IRON ORE,Pilbara Iron,N,,Y,IRON,P,Major Projects,Public,2353,JEERINAH,SF50-11,MOUNT BRUCE,"ASHBURTON, SHIRE OF","PILBARA, Development Region",47,WEST PILBARA M.F.,Hamersley Basin,20260515
S0019496,Woodside LNG,Woodside LNG Plant,Infrastructure,Processing Plant,Operating,J02379,Northwest Shelf / Woodside,116.778712,-20.592707,476939,7722911,50,LNG,Energy,PETROLEUM,Northwest Shelf LNG,N,,Y,PPPL,O,Major Projects,Public,2256,DAMPIER,SF50-02,DAMPIER,"KARRATHA, CITY OF","PILBARA, Development Region",47,WEST PILBARA M.F.,Fortescue Basin,20260515
S0021511,Yara Ammon Nitrate,Yara Technical Ammonium Nitrate Production Facility,Infrastructure,Processing Plant,Operating,J02584,Yara Nitrates JV,116.787589,-20.630081,477870,7718777,50,NH4NO3 HNO3 NH4,Other (MINEDEX non-minerals),CHEMICALS,Yara nitrate plant,N,,Y,MIPL,O,Major Projects,Public,2256,DAMPIER,SF50-02,DAMPIER,"KARRATHA, CITY OF","PILBARA, Development Region",47,WEST PILBARA M.F.,Fortescue Basin,20260515
S0022573,Pluto LNG,Pluto LNG Plant,Infrastructure,Processing Plant,Operating,J03260,Pluto LNG,116.768313,-20.613266,475859,7720634,50,LNG,Energy,PETROLEUM,Pluto LNG,N,,Y,PPPL,O,Major Projects,Public,2256,DAMPIER,SF50-02,DAMPIER,"KARRATHA, CITY OF","PILBARA, Development Region",47,WEST PILBARA M.F.,Fortescue Basin,20260515
S0021518,Burrup West/Perdaman,Burrup West Ammonia-Urea / Perdaman,Infrastructure,Processing Plant,Proposed,J02972,Karratha Ammonia-Urea / Perdaman,116.774034,-20.625255,476457,7719308,50,NH4,Other (MINEDEX non-minerals),PETROLEUM,Karratha Ammonia-Urea,N,,Y,MIPL,P,Major Projects,Public,2256,DAMPIER,SF50-02,DAMPIER,"KARRATHA, CITY OF","PILBARA, Development Region",47,WEST PILBARA M.F.,Fortescue Basin,20260515
S0001918,Halberts Main,Halberts Main Zone,Deposit,Unspecified,Undeveloped,J00919,Munglinup Graphite / MRC,120.858634,-33.663501,301455,6273096,51,Gr MgCO3 TGC,Industrial mineral,GRAPHITE,Munglinup Graphite,Y,Gr MgCO3 TGC,Y,INMI,P,Major Projects,Public,3030,OLDFIELD,SI51-05,RAVENSTHORPE,"ESPERANCE, SHIRE OF","GOLDFIELDS-ESPERANCE, Development Region",74,PHILLIPS RIVER M.F.,"Northern Foreland, Albany-Fraser Orogen",20260515
